"NO_OUV","ADR","ACC_UNI","ASC","TYP_CHA","x","y","Longitude","lat"
324,"1990 Rue de Maricourt (MTL) , Montréal","NON","0","Électricité",297634.64400903,5035357.3933849,-73.591619,45.458109
326,"1820 Avenue Clifford , Montréal","NON","0","Électricité",297750.51639489,5034493.0099339,-73.590125,45.450332
327,"5900 Rue Drake , Montréal","NON","0","Électricité",298426.20219394,5035442.5516064,-73.581499,45.458883
328,"6975 Avenue de Chester , Montréal","1","0","Électricité",293034.64721236,5036229.1375465,-73.650457,45.465891
329,"5925 Avenue De Montmagny , Montréal","NON","0","Mazout no. 2",296573.79470411,5035214.889627,-73.605181,45.456815
330,"3500 Avenue Laurier , Montréal","NON","0","Électricité",299446.66772884,5045825.8740535,-73.568564,45.552325
332,"6855 Rue Hamilton , Montréal","NON","?","",297330.03358691,5034440.8148948,-73.5955,45.449858
333,"12195 Avenue Jean-Yves-Bigras , Montréal","NON","?","Électricité",299432.23317052,5056649.4090006,-73.568868,45.649718
334,"6071 Rue Laurendeau , Montréal","NON","0","Électricité",297862.74302374,5035326.6904207,-73.588702,45.457835
337,"400 Avenue Ball , Montréal","NON","?","Électricité",294599.91421979,5043576.2468656,-73.630593,45.532028
339," Chemin Remembrance , Montréal","NON","0","",297259.65892886,5039934.9553209,-73.596484,45.499296
340,"4167 Avenue de l' Esplanade , Montréal","NON","?","",298225.79278625,5041676.5034568,-73.584145,45.514977
